NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
860063875,EMGESA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,3511,SERVICIOS,$10.87,$2.86,$27.06,$11.89,$15.17,2022
900818921,KOPPS COMMERCIAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4632,COMERCIO,$9.66,$0.88,$5.05,$3.98,$1.07,2022
800088702,EPS SURA,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8430,SERVICIOS,$9.30,-$0.14,$2.10,$1.87,$0.24,2022
800251440,E.P.S. SANITAS S.A.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,$8.72,-$0.30,$2.47,$2.39,$0.08,2022
900480569,JERONIMO MARTINS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,$8.62,-$0.23,$5.20,$5.10,$0.10,2022
900531210,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4930,SERVICIOS,$8.53,$4.58,$19.56,$2.35,$17.21,2022
830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - TELEFONICA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6110,SERVICIOS,$7.86,-$0.07,$14.83,$10.07,$4.75,2022
890107487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4711,COMERCIO,$7.78,$0.14,$5.30,$3.28,$2.02,2022
860002554,PRIMAX COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,$7.76,$0.05,$1.74,$1.27,$0.47,2022
830078038,CERREJON ZONA NORTE S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,510,MINERO,$7.20,$2.84,$7.95,$3.36,$4.59,2022
860005224,BAVARIA & CIA S.C.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1103,MANUFACTURA,$6.96,$1.72,$10.68,$7.53,$3.15,2022
900585067,C.I. TRAFIGURA PETROLEUM COLOMBIA S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,$6.57,-$0.03,$0.94,$0.91,$0.03,2022
800130907,SALUD TOTAL S.A. EPS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,$6.21,$0.17,$3.22,$2.81,$0.41,2022
800242106,SODIMAC COLOMBIA SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4774,COMERCIO,$5.99,$0.31,$3.79,$2.34,$1.45,2022
800251163,OLEODUCTO CENTRAL S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4930,SERVICIOS,$5.52,$2.84,$8.71,$3.83,$4.88,2022
900268747,PAREX RESOURCES (COLOMBIA) AG SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$5.50,$2.49,$11.62,$5.53,$6.09,2022
830126302,"FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$5.15,$1.62,$8.70,$2.07,$6.63,2022
800249860,CELSIA COLOMBIA S.A. E.S.P. ANTES EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.- EPSA,SUPERFINANCIERA,Costa Pacífica,VALLE,YUMBO-VALLE,3513,SERVICIOS,$4.92,$0.47,$11.11,$6.63,$4.48,2022
811000740,ISAGEN S.A. E.S.P.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3511,SERVICIOS,$4.82,$1.23,$23.81,$18.24,$5.56,2022
900331322,VERANO ENERGY (SWITZERLAND) AG SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$4.72,$0.78,$12.25,$9.46,$2.79,2022
900155107,CENCOSUD COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,$4.64,-$0.01,$5.81,$1.82,$3.98,2022
860005223,CHEVRON PETROLEUM COMPANY,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,$4.47,-$0.06,$1.45,$1.37,$0.08,2022
860066942,COMPENSAR,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7010,SERVICIOS,$4.42,-$0.13,$1.91,$1.41,$0.50,2022
830028931,SAMSUNG ELECTRONICS COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4652,COMERCIO,$4.34,$0.03,$1.87,$1.62,$0.25,2022
800149695,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4773,COMERCIO,$4.28,$0.03,$2.86,$2.42,$0.44,2022
900493698,GEOPARK COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$4.14,$1.21,$4.60,$2.53,$2.07,2022
900226715,COOSALUD,SUPERSALUD,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,8430,SERVICIOS,$4.08,$0.12,$1.12,$0.79,$0.33,2022
890903858,INDUSTRIA NACIONAL DE GASEOSAS S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1104,MANUFACTURA,$4.05,$0.04,$2.34,$1.48,$0.86,2022
830003564,FAMISANAR LTDA. CAFAM - COLSUBSIDIO E.P.S.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,$3.97,-$0.70,$0.95,$2.04,-$1.09,2022
860069378,CERRO MATOSO S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,723,MINERO,$3.90,$1.29,$3.47,$1.55,$1.92,2022
860025792,RENAULT SOCIEDAD DE FABRICACION DE AUTOMOTORES S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,2910,MANUFACTURA,$3.73,$0.19,$1.04,$0.65,$0.39,2022
800059470,ESENTTIA S.A.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2013,MANUFACTURA,$3.70,$0.25,$3.67,$0.63,$3.04,2022
899999082,GRUPO ENERGÍA DE BOGOTÁ S.A. E.S.P.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,3512,SERVICIOS,$3.59,$2.85,$31.51,$11.01,$20.50,2022
900780510,AUTOMOTORES TOYOTA COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,$3.58,$0.15,$0.67,$0.48,$0.19,2022
860002304,GENERAL MOTORS COLMOTORES S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2910,MANUFACTURA,$3.57,$0.07,$2.13,$1.40,$0.73,2022
890901271,CONTEGRAL S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,1090,MANUFACTURA,$3.52,$0.11,$1.30,$0.78,$0.52,2022
816001182,AUDIFARMA SA,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,4645,COMERCIO,$3.50,$0.05,$2.40,$2.20,$0.20,2022
860026895,ITALCOL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1090,MANUFACTURA,$3.44,$0.06,$1.02,$0.65,$0.37,2022
800007813,VANTI S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,3520,SERVICIOS,$3.37,$0.27,$1.82,$1.23,$0.59,2022
806008394,MUTUAL SER,SUPERSALUD,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,8430,SERVICIOS,$3.37,$0.00,$0.66,$0.45,$0.21,2022
860016610,INTERCONEXIÓN ELÉCTRICA S.A. E.S.P. - ISA,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3512,SERVICIOS,$3.32,$2.19,$25.49,$7.04,$18.45,2022
860072134,HOCOL S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$3.25,$0.53,$4.87,$2.06,$2.81,2022
901421912,JGDB HOLDING SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6499,SERVICIOS,$3.09,$2.28,$10.80,$5.61,$5.19,2022
830136799,BIOMAX BIOCOMBUSTIBLES S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,$3.09,$0.08,$1.47,$1.00,$0.47,2022
860041312,C.I. PRODECO S.A.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,510,MINERO,$2.82,$0.98,$2.37,$0.57,$1.79,2022
890300466,TECNOQUIMICAS S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4669,COMERCIO,$2.82,$0.40,$3.60,$1.08,$2.52,2022
890304130,ALIMENTOS CARNICOS S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1011,MANUFACTURA,$2.78,$0.16,$3.04,$1.65,$1.39,2022
900646156,TRAFIGURA MARKETING COLOMBIA SAS E.S.P,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,$2.77,-$0.04,$1.00,$1.07,-$0.07,2022
811009788,DISTRACOM S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4731,COMERCIO,$2.77,$0.10,$1.48,$0.55,$0.93,2022
900092385,UNE EPM TELECOMUNICACIONES S.A.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,6110,SERVICIOS,$2.76,-$0.47,$5.30,$4.74,$0.56,2022
860006333,YARA COLOMBIA S.A.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2012,MANUFACTURA,$2.75,$0.38,$1.69,$0.64,$1.05,2022
860007277,MEXICHEM RESINAS COLOMBIA S.A.S.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2013,MANUFACTURA,$2.73,$0.20,$1.19,$0.25,$0.94,2022
890900291,SOLLA S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,1090,MANUFACTURA,$2.67,$0.09,$1.08,$0.68,$0.40,2022
860004828,ALIMENTOS FINCA S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,1090,MANUFACTURA,$2.64,$0.06,$1.19,$0.76,$0.43,2022
900323853,TELEPERFORMANCE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8220,SERVICIOS,$2.63,$0.28,$1.42,$0.55,$0.87,2022
830114921,COLOMBIA MOVIL S A E S P,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6120,SERVICIOS,$2.62,-$0.25,$4.41,$4.39,$0.01,2022
890903939,POSTOBON S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1104,MANUFACTURA,$2.60,$0.01,$3.43,$1.97,$1.46,2022
860078828,COLSANITAS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8699,SERVICIOS,$2.55,$0.13,$2.06,$1.07,$0.99,2022
860001697,GASEOSAS LUX SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1104,MANUFACTURA,$2.55,$0.09,$2.07,$1.11,$0.96,2022
890912462,TAMPA CARGO S.A.S.,SUPERTRANSPORTE,Antioquia,ANTIOQUIA,RIONEGRO-ANTIOQUIA,5111,SERVICIOS,$2.55,$0.12,$2.66,$1.57,$1.09,2022
901021565,EMSSANAR ESS,SUPERSALUD,Costa Pacífica,NARIÑO,PASTO-NARIÑO,8699,SERVICIOS,$2.53,-$0.42,$0.36,$1.82,-$1.46,2022
900017447,FALABELLA DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4719,COMERCIO,$2.52,$0.05,$1.45,$1.12,$0.33,2022
900604350,SAVIA SALUD EPS,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8430,SERVICIOS,$2.51,-$0.15,$0.22,$0.79,-$0.57,2022
890301884,COLOMBINA S A,SUPERFINANCIERA,Costa Pacífica,VALLE,ZARZAL-VALLE,1082,MANUFACTURA,$2.49,$0.16,$2.26,$1.72,$0.54,2022
900935126,ASMET SALUD,SUPERSALUD,Costa Pacífica,CAUCA,POPAYAN-CAUCA,8430,SERVICIOS,$2.49,-$0.03,$0.27,$1.04,-$0.77,2022
890100251,CEMENTOS ARGOS S.A,SUPERFINANCIERA,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,2394,MANUFACTURA,$2.48,$0.14,$17.45,$6.15,$11.30,2022
890112475,CI ENERGIA SOLAR SAS ESWINDOWS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,2511,MANUFACTURA,$2.47,$0.37,$1.61,$0.85,$0.76,2022
860031606,DIANA CORPORACION SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1051,MANUFACTURA,$2.43,$0.02,$1.33,$1.05,$0.28,2022
901526800,MARVAL HOLDING S.A.S.,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4111,CONSTRUCCIÓN,$2.30,$2.31,$2.16,$0.02,$2.14,2022
860053930,"SIERRACOL ENERGY ARAUCA, LLC.",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$2.28,$0.97,$1.10,$0.85,$0.25,2022
901210452,TERPEL EXPORTACIONES C.I. S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4731,COMERCIO,$2.27,$0.02,$0.19,$0.16,$0.03,2022
800216181,GRUPO AVAL ACCIONES Y VALORES S A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4799,COMERCIO,$2.26,$2.54,$20.04,$3.07,$16.96,2022
891304762,ITALCOL DE OCCIDENTE SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,PALMIRA-VALLE,1090,MANUFACTURA,$2.25,$0.07,$0.70,$0.37,$0.33,2022
800011987,TENARIS TUBOCARIBE LTDA,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,TURBACO-BOLIVAR,2592,MANUFACTURA,$2.21,$0.30,$2.54,$1.23,$1.31,2022
860025900,ALPINA PRODUCTOS ALIMENTICIOS S A,SUPERFINANCIERA,Bogotá - Cundinamarca,CUNDINAMARCA,SOPO-CUNDINAMARCA,1040,MANUFACTURA,$2.16,$0.10,$1.58,$1.34,$0.24,2022
890201881,AVIDESA MAC POLLO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,145,AGROPECUARIO,$2.11,$0.17,$0.91,$0.30,$0.62,2022
900736182,APPLE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4651,COMERCIO,$2.10,$0.00,$0.60,$0.58,$0.02,2022
860002130,NESTLE DE COLOMBIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1089,MANUFACTURA,$2.09,$0.17,$1.29,$1.07,$0.21,2022
890903532,INDUSTRIA COLOMBIANA DE CAFE S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1062,MANUFACTURA,$2.05,$0.01,$2.43,$1.61,$0.81,2022
860004864,"SIERRACOL ENERGY ANDINA, LLC.",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$2.02,$0.40,$3.64,$1.49,$2.14,2022
800141770,C.I. ACEPALMA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,$2.02,$0.03,$0.41,$0.32,$0.09,2022
860000996,RACAFE & CIA SCARACAFE & CIA SCA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1061,MANUFACTURA,$2.00,$0.02,$0.70,$0.58,$0.11,2022
890300546,COLGATE PALMOLIVE COMPAÑIA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,2023,MANUFACTURA,$1.99,$0.07,$1.00,$0.75,$0.25,2022
890105526,PROMIGAS S.A. E.S.P.,SUPERFINANCIERA,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4930,SERVICIOS,$1.99,$1.12,$11.19,$5.49,$5.70,2022
900319753,PRICESMART COLOMBIA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,$1.99,$0.00,$1.10,$0.62,$0.48,2022
800197463,POLLOS EL BUCANERO S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,1011,MANUFACTURA,$1.96,-$0.19,$1.74,$1.20,$0.53,2022
890920304,PEPSICO ALIMENTOS COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1089,MANUFACTURA,$1.95,$0.06,$0.62,$0.38,$0.24,2022
900110594,OLAM AGRO COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1061,MANUFACTURA,$1.94,$0.01,$0.42,$0.35,$0.07,2022
860002518,UNILEVER ANDINA COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,$1.93,$0.08,$1.42,$0.84,$0.57,2022
900777972,C.I. TRAFIGURA COAL COLOMBIA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4641,COMERCIO,$1.92,$0.00,$0.32,$0.32,-$0.00,2022
890900161,PRODUCTOS FAMILIA SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1709,MANUFACTURA,$1.91,$0.32,$3.07,$0.60,$2.47,2022
900291798,CI ADM COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,$1.91,$0.01,$0.41,$0.34,$0.07,2022
900166687,CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,722,MINERO,$1.88,$0.13,$5.54,$3.33,$2.21,2022
900196778,ONGC VIDESH LIMITED SUCURSAL COLOMBIANA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$1.88,$0.49,$1.80,$1.85,-$0.04,2022
860513970,COMERCIALIZADORA INTERNACIONAL MILPA SOCIEDAD ANONIMA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,$1.85,$0.32,$1.39,$0.60,$0.79,2022
890904224,C.I. UNIÓN DE BANANERO DE URABÁ S.A. - UNIBVA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4631,COMERCIO,$1.85,-$0.05,$1.18,$0.60,$0.58,2022
891100445,ORF S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1051,MANUFACTURA,$1.84,$0.10,$1.51,$0.81,$0.70,2022
900298372,CAPITAL SALUD EPSS S.A.S,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,$1.84,$0.00,$0.42,$0.39,$0.03,2022
900099234,SUCDEN COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,$1.79,$0.00,$0.25,$0.24,$0.01,2022
800039996,KUEHNE+ NAGEL S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5229,SERVICIOS,$1.79,$0.04,$0.38,$0.28,$0.10,2022
860516431,"GRAN TIERRA ENERGY COLOMBIA, LLC SUCURSAL",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$1.78,$0.45,$3.17,$1.22,$1.95,2022
830019189,AIRES LATAM AIRLINES COLOMBIA,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTÁ-BOGOTA D.C.,5111,SERVICIOS,$1.78,-$0.42,$0.94,$1.44,-$0.49,2022
800149384,CLINICA COLSANITAS S A,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8610,SERVICIOS,$1.77,$0.07,$1.29,$0.73,$0.56,2022
890932389,TERNIUM COLOMBIA S. A. S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,4663,COMERCIO,$1.73,$0.04,$1.31,$0.53,$0.77,2022
891903333,CARCAFE LTDA.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1061,MANUFACTURA,$1.71,$0.01,$0.49,$0.41,$0.08,2022
